Date,Open,High,Low,Close,Volume,Market_Cap,Tomorrow,Target
2023-01-24,22929.627735671096,23134.012046600143,22549.74451310499,22636.469311191635,26405069714.63,436237993963.62,23117.85968190475,1
2023-01-23,22721.088671950587,23126.486345437213,22654.304469693496,22934.431464358637,26518700511.88,441960667796.84,22636.469311191635,0
2023-01-22,22777.98666142161,23056.72965007116,22387.900462859576,22720.41562863912,24746386230.08,437814457018.41,22934.431464358637,1
2023-01-21,22677.42738242082,23282.34772155672,22511.833134019824,22777.625809132605,32442278429.47,438896650641.24,22720.41562863912,0
2023-01-20,21085.37233777419,22692.35783082474,20919.125983682126,22676.55175888814,28799154319.0,436928964721.29,22777.625809132605,1
2023-01-19,20686.74590606124,21163.01228822708,20685.38118086059,21086.793304844312,21152848260.91,406279900295.03,22676.55175888814,1
2023-01-18,21161.050899700425,21564.502212963143,20541.54454877403,20688.780729864848,30005625417.91,398593008037.23,21086.793304844312,1
2023-01-17,21175.83326020336,21438.659357857345,20978.533624201336,21161.51921991616,24999983362.13,407681958151.49,20688.780729864848,0
2023-01-16,20882.22387661832,21360.87427947748,20715.74621411983,21169.6327806964,26792494049.72,407818156777.17,21161.51921991616,0
2023-01-15,20977.484195216995,20993.74869585351,20606.98723839924,20880.79920218209,19298407543.31,402234665331.34,21169.6327806964,1
2023-01-14,19910.53665706548,21075.141829957556,19907.828463560887,20976.299796392123,38967784639.05,404052157141.45,20880.79920218209,0
2023-01-13,18868.90593784208,19964.32272796427,18753.164262209662,19909.574624750632,29225029693.63,383483154873.96,20976.299796392123,1
2023-01-12,17944.068733941822,19030.087636638204,17919.231705835675,18869.588055265584,34971338710.34,363433455081.14,19909.574624750632,1
2023-01-11,17446.360272066515,17987.633549359143,17337.99499776178,17943.897629468323,18307186523.32,346303640718.24,18869.588055265584,1
2023-01-10,17192.95009444573,17484.720892404555,17162.99116698699,17446.292509299026,15808338948.79,335987993694.35,17943.897629468323,1
2023-01-09,17093.99249812248,17389.957551426294,17093.99249812248,17196.554059639464,18624736865.86,331160060320.4,17446.292509299026,1
2023-01-08,16954.145725849703,17091.14445130325,16924.050073925267,17091.14445130325,9768827914.24,329114546384.43,17196.554059639464,1
2023-01-07,16952.11698101385,16975.016620564034,16914.192080111883,16955.077435158768,7714767174.32,326478273136.7,17091.14445130325,1
2023-01-06,16836.473439155277,16991.99412117054,16716.422270521653,16951.969516629335,14413662912.72,326401273258.71,16955.077435158768,1
2023-01-05,16863.472056826773,16884.02211647721,16790.283040692182,16836.736645223573,13692758566.46,324163886549.58,16951.969516629335,1
2023-01-04,16680.204971419756,16964.585185463384,16667.763725134693,16863.238258283258,18421743322.29,324658229824.73,16836.736645223573,0
2023-01-03,16688.84726385924,16760.44746598456,16622.370328256326,16679.85707981374,13903079206.51,321111951654.75,16863.238258283258,1
2023-01-02,16625.51039411775,16759.344022918354,16572.228849744886,16688.47135739323,12097775226.69,321262452550.73,16679.85707981374,0
2023-01-01,16547.914397871536,16630.43900271543,16521.233430528962,16625.08055070908,9244361699.89,320025834692.4,16688.47135739323,1
2022-12-31,16603.67470264306,16628.986997303513,16517.519222395018,16547.49536601617,11239186456.23,318516317872.25,16625.08055070908,1
2022-12-30,16641.329824264532,16643.427409572592,16408.475176826076,16602.585155770088,15929162909.56,319559502979.58,16547.49536601617,0
2022-12-29,16552.322490686318,16651.75666380368,16508.683153231756,16642.342671885614,14472237478.79,320309344585.85,16602.585155770088,0
2022-12-28,16716.40022056822,16768.170355524755,16497.557038840765,16552.571736514474,17005713920.05,318567071312.32,16642.342671885614,1
2022-12-27,16919.291650123574,16959.846476047544,16642.073182208023,16717.17398012714,15748580239.21,321717198701.45,16552.571736514474,0
2022-12-26,16842.249310575324,16920.123640467442,16812.370075923343,16919.80517492847,11886957803.69,325604307791.2,16717.17398012714,0
2022-12-25,16847.505364105884,16860.553971121557,16755.253233558044,16841.98705228377,11656379938.06,324093186300.93,16919.80517492847,1
2022-12-24,16796.976619520563,16864.702878905566,16793.528184511397,16847.755265154647,9744636213.3,324190184505.64,16841.98705228377,0
2022-12-23,16829.643586035916,16905.219359989063,16794.459352221234,16796.952171216344,15329265212.56,323203056785.65,16847.755265154647,1
2022-12-22,16818.380287653727,16866.674326763485,16592.40745444739,16830.341423934446,16441573050.1,323831438044.37,16796.952171216344,0
2022-12-21,16904.527354049867,16916.79988236787,16755.91221318602,16817.53438655099,14882945044.81,323570505189.58,16830.341423934446,1
2022-12-20,16441.786800099886,17012.984705296407,16427.867238763847,16906.30521042145,22722096614.76,325263465984.55,16817.53438655099,0
2022-12-19,16759.04092682387,16807.526574065127,16398.136251675314,16439.679646162964,17221074813.55,316271488936.78,16906.30521042145,1
2022-12-18,16795.6092258732,16815.386575543896,16697.82003455788,16757.977403246638,10924354698.17,322379914497.22,16439.679646162964,0
2022-12-17,16646.982567247887,16800.590192749856,16614.02894738076,16795.09096721353,14463581825.22,323078968931.9,16757.977403246638,0
2022-12-16,17364.546443268817,17505.5250524957,16584.70139828051,16647.48347882862,24031608959.5,320225997953.71,16795.09096721353,1
2022-12-15,17813.644122701808,17846.744460573012,17322.590067121728,17364.864911262914,20964448340.77,334010450284.36,16647.48347882862,0
